id,name,description,votes,sortorder
2598,James F. Rinehart, academic,0,9999
2599,Mario Rodríguez," footballer (Chacarita Juniors, Independiente)",0,9999
2600,Jindřich Roudný, Olympic steeplechase athlete (1952),0,9999
2601,Rachel Rosenthal, performance artist,0,9999
2602,Victor Salvi, harpist and harp maker,0,9999
2603,Barbara Turnbull, journalist and disability campaigner,0,9999
2604,Davey Whitney, Hall of Fame basketball coach (Alcorn State),0,9999
2605,Maggie Black, ballet instructor,0,9999
2606,Alan Borovoy, human rights activist and lawyer,0,9999
2607,Donna Jean Christianson, politician,0,9999
2608,Stan Cornyn, record label executive,0,9999
2609,Pierre Daboval, artist,0,9999
2610,Peter Füri, footballer (Concordia Basel F.C. Basel),0,9999
2611,Jef Geeraerts, author,0,9999
2612,Kay Heim, baseball player (Kenosha Comets),0,9999
2613,John Hewie, footballer (Charlton Athletic),0,9999
2614,Olavi Lanu, sculptor,0,9999
2615,Bob Light, college basketball coach (Appalachian State),0,9999
2616,Frank Matich, racing car driver,0,9999
2617,Leonardo Neher, diplomat,0,9999
2618,Glen Orbik, artist,0,9999
2619,Mohammad-Ali Sepanlou, poet,0,9999
2620,Isobel Varley, tattooed woman world's most tattooed senior,0,9999
2621,Derek Walker, architect,0,9999
2622,Sir John Watts," politician, President of the Senate (1988–1990, 1995–2004)",0,9999
2623,Richard W. Winder, LDS church elder,0,9999
2624,Cecil Jones Attuquayefio, football player and coach,0,9999
2625,"Tony Ayala, Jr.", light middleweight boxer,0,9999
2626,Suchitra Bhattacharya, novelist,0,9999
2627,Mervyn Burtch, composer,0,9999
2628,John Colenback, actor (As the World Turns),0,9999
2629,John Dewes," cricketer (Middlesex, national team)",0,9999
2630,Sir Peter Fry," politician, MP for Wellingborough (1969–1997)",0,9999
2631,Peter Gay, historian,0,9999
2632,Bill Guthridge, college basketball coach (University of North Carolina),0,9999
2633,Rachel Jacobs, entrepreneur,0,9999
2634,Bobby Jameson, pop singer and songwriter,0,9999
2635,Syd Lieberman, storyteller,0,9999
2636,William MacDonald, serial killer,0,9999
2637,Evany José Metzker, journalist,0,9999
2638,Saulat Mirza, convicted murderer and political activist,0,9999
2639,Ruth Mompati, politician (1956 Women's March),0,9999
2640,Robin Page, artist,0,9999
2641,John Slater," politician, MLA for Boundary-Similkameen (2009–2013)",0,9999
2642,Neranjan Wickremasinghe, politician,0,9999
2643,Anthony C. Yu, translator (Journey to the West) and literature scholar,0,9999
2644,William Zinsser, writer,0,9999
2645,"Earl Averill, Jr."," baseball player (Los Angeles Angels, Chicago Cubs)",0,9999
2646,Eric Bakie," footballer (Dunfermline Athletic, Aberdeen)",0,9999
2647,Kathryn I. Bowers," politician, member of the Tennessee House of Representatives (1995–2005) and Senate (2005–2007)",0,9999
2648,Derek Davis, broadcaster (Live at 3),0,9999
2649,Gill Dennis," screenwriter (Walk the Line, Return to Oz)",0,9999
2650,Robert Drasnin, composer and clarinet player,0,9999
2651,Lucy Fabery, jazz singer,0,9999
2652,Romolo Ferri, motorcycle racer,0,9999
2653,Joseph Fidel, politician,0,9999
2654,Ed Fouhy, journalist and television news executive (ABC CBS NBC),0,9999
2655,George W. Haley, politician and diplomat,0,9999
2656,Bert Hitchen, railway preservationist,0,9999
2657,Anna Levinson, zoologist,0,9999
2658,Nina Otkalenko, athlete,0,9999
2659,Bob Randall, Indigenous musician and author,0,9999
2660,David Sackett, physician,0,9999
2661,Gainan Saidkhuzhin, Olympic cyclist (1960 1964),0,9999
2662,Stanley Sproul," politician, Mayor of Augusta, Maine (1971–1974), member of the Maine House of Representatives (1973–1974)",0,9999
2663,James H. Andreasen, judge,0,9999
2664,Geraldo Majela de Castro," Roman Catholic prelate, Coadjutor Bishop (1982–1988) and Archbishop of Montes Claros (1988–2007)",0,9999
2665,Thomas Lothian, politician and academic,0,9999
2666,Micheál O'Brien, Gaelic footballer and hurler (Meath),0,9999
2667,Stanton J. Peale, astrophysicist,0,9999
2668,Mariana Pfaelzer," federal judge, U.S. District Court Judge for the Central District of California (1978–1997)",0,9999
2669,Jean Pliya, playwright and short story writer,0,9999
2670,Franz Wright, poet,0,9999
2671,"Zdzisław Żygulski, Jr.", art historian,0,9999
2672,Ortheia Barnes, R&B and jazz singer,0,9999
2673,Elisabeth Bing," physical therapist, author and proponent of natural childbirth",0,9999
2674,Jackie Brookner, artist,0,9999
2675,Michael Campus," director, producer, and screenwriter (The Mack)",0,9999
2676,Samih Darwazah, executive (Hikma Pharmaceuticals),0,9999
2677,Alfred DelBello," politician, Lieutenant Governor of New York (1983–1985), Westchester County Executive (1974–1982), Mayor of Yonkers, New York (1970–1974)",0,9999
2678,Tommy Dunne, international footballer,0,9999
2679,Corey Hill, mixed martial artist (UFC),0,9999
2680,Bob Hopkins, basketball player (Syracuse Nationals) and coach (Seattle SuperSonics),0,9999
2681,John Jarvis-Smith, World War II naval officer and shipbroker,0,9999
2682,Jacob Jensen, industrial designer,0,9999
2683,Matulidi Jusoh, politician MP for Dungun (2008–2013),0,9999
2684,André Jean René Lacrampe," Roman Catholic prelate, Bishop of Ajaccio (1995–2003) and Archbishop of Besançon (2003–2013)",0,9999
2685,Claude Lajoie, politician,0,9999
2686,John Lo Schiavo," Jesuit and educator, President of University of San Francisco (1977–1991)",0,9999
2687,Flora MacNeil, Gaelic singer,0,9999
2688,Carlos Maggi, writer (Generación del 45),0,9999
2689,Valentina Maureira, euthanasia advocate,0,9999
2690,Didi Petet, actor,0,9999
2691,John Stephenson, voice actor (The Flintstones Dragnet Jonny Quest),0,9999
2692,James Takemori, judo coach,0,9999
2693,Donald Wrye, film director (Ice Castles),0,9999
2694,Zhanna Yorkina, cosmonaut,0,9999
2695,Renzo Zorzi, racing driver,0,9999
2696,Jackie Basehart, actor (The Inglorious Bastards),0,9999
2697,Prashant Bhargava, filmmaker,0,9999
2698,Nelson Doi," politician, Lieutenant Governor of Hawaii (1974–1978)",0,9999
2699,Ernesto Estrada, basketball player,0,9999
2700,Johannes Exner, architect,0,9999
2701,Elias Gleizer, actor,0,9999
2702,Charlotte Klamroth," supercentenarian, nation's oldest person",0,9999
2703,Shikha Joshi, actress (B.A. Pass),0,9999
2704,Adam Kilgarriff, linguist,0,9999
2705,Moshe Levinger, Orthodox rabbi,0,9999
2706,Dean Potter, rock climber,0,9999
2707,Adrian Robinson, football player (Pittsburgh Steelers Temple Owls),0,9999
2708,Abu Sayyaf, senior ISIS commander head of oil operations,0,9999
2709,Peter Tallberg," Olympic sailor (1960, 1964, 1968, 1972, 1980) and IOC member",0,9999
2710,Syd Tate, VFL football player (Geelong),0,9999
2711,"John Templeton, Jr.", physician and philanthropist,0,9999
2712,Raphael Tenthani, journalist,0,9999
2713,Dominik Tóth," Roman Catholic prelate, Auxiliary Bishop of Bratislava (1990–2004)",0,9999
2714,Yeung Kwong, pro-communist activist,0,9999
2715,Ahmed Zanna," politician, Senator for Borno Central (since 2011)",0,9999
2716,Claude Carliez," fencer and stunt director (Moonraker, A View to a Kill)",0,9999
2717,Chinx, rapper,0,9999
2718,Óscar Collazos, writer,0,9999
2719,Sheshrao Deshmukh, politician,0,9999
2720,Margaret Dunning, philanthropist,0,9999
2721,Rex Garner, actor and theatre director,0,9999
2722,Leo Honkala," wrestler, Olympic bronze medalist (1952)",0,9999
2723,Keiji Matsumoto, racing driver,0,9999
2724,Nancy Masterton," politician, member of the Maine House of Representatives",0,9999
2725,Michael Alfred Peszke, psychiatrist and historian,0,9999
2726,S. W. Schmitthenner," missionary, President of Andhra Evangelical Lutheran Church (1969–1981)",0,9999
2727,Gerald Steadman Smith, artist,0,9999
2728,Don Smoothey, actor and comedian,0,9999
2729,Tranquility Bass, hip-hop musician,0,9999
2730,Frank Pierpoint Appleby, politician,0,9999
2731,Norm Armstrong, football player,0,9999
2732,Halldór Ásgrímsson, politician Prime Minister (2004–2006),0,9999
2733,Tommy Bing, footballer (Margate),0,9999
2734,Dewi Bridges," Anglican prelate, Bishop of Swansea and Brecon (1988–1998)",0,9999
2735,Helen Davis," politician, member of the Florida House of Representatives and Senate",0,9999
2736,Raymond Gosling, scientist,0,9999
2737,Hasanuzzaman Khan, journalist,0,9999
2738,Steiner Arvid Kvalø, politician,0,9999
2739,Al Matsalla, politician,0,9999
2740,Dick Mountjoy, politician Mayor of Monrovia California (1968–1976) member of the California State Assembly (1978–1995) and Senate (1995–2000),0,9999
2741,T. J. Moran, restaurateur and philanthropist,0,9999
2742,Eli M. Pearce, chemist,0,9999
2743,Harald Seeger, football player (1. FC Union Berlin) and manager,0,9999
2744,Jean-François Théodore, executive (Euronext),0,9999
2745,Elbert West," country music singer-songwriter (""Sticks and Stones"")",0,9999
2746,Ahmad Alasgarov, football player and manager,0,9999
2747,Jack Aspinwall, politician MP (1979–1997),0,9999
2748,Joseph J. Barnicke, real estate magnate,0,9999
2749,Joe Carr, footballer (St Johnstone),0,9999
2750,Sir Thomas Gault, jurist,0,9999
2751,Edmond J. Gong," politician, member of the Florida House of Representatives (1963–1966) and Senate (1967–1971)",0,9999
2752,Gerald Götting," politician, President of the East German People's Chamber (1969–1976)",0,9999
2753,Fahd Jaradat," politician, Finance Minister (1970)",0,9999
2754,Bruce Lundvall, record executive (Blue Note Records),0,9999
2755,Ted McWhinney, politician and academic,0,9999
2756,Evgeny Menshov, actor and presenter,0,9999
2757,Burhan Muhammad, diplomat Ambassador to Pakistan (since 2012),0,9999
2758,Dale D. Myers," aerospace engineer, Deputy Administrator of NASA (1986–1989)",0,9999
2759,S. V. Raju, politician,0,9999
2760,Happy Rockefeller," socialite and philanthropist, Second Lady of the United States (1974–1977), First Lady of New York (1963–1973)",0,9999
2761,State of Bengal, DJ and music producer,0,9999
2762,Roger J. Thomas, physicist,0,9999
2763,Robert S. Wistrich,-British history professor,0,9999
2764,Edward Adeane," courtier, Private Secretary to the Prince of Wales (1979–1985)",0,9999
2765,Billy Baggett, football player (Dallas Texans),0,9999
2766,Bob Belden, musician,0,9999
2767,Abdelaziz Bennani, army general,0,9999
2768,Sir Brian Cubbon, civil servant Permanent Secretary of the Home Office (1979–1988),0,9999
2769,Harald Eriksson," cross-country skier, Olympic silver medalist (1948)",0,9999
2770,Eileen Gray, bicycle racer,0,9999
2771,J. S. Harry, poet,0,9999
2772,Ebba Hentze, writer,0,9999
2773,Kirsten Idebøen, financier (SpareBank 1),0,9999
2774,Sir John Lea, Royal Navy vice-admiral,0,9999
2775,Paul Liao, entrepreneur,0,9999
2776,Chifita Matafwali," politician, member of the National Assembly for Bangweulu (since 2011)",0,9999
2777,Manfred Müller," Roman Catholic prelate, Auxiliary Bishop of Augsburg (1972–1982) and Bishop of Regensburg (1982–2002)",0,9999
2778,Bob Priestley, football player (Philadelphia Eagles),0,9999
2779,Jan Prochyra, actor,0,9999
2780,Femi Robinson, actor (The Village Headmaster),0,9999
2781,Sudha Shivpuri, actress (Kyunki Saas Bhi Kabhi Bahu Thi),0,9999
2782,Mary Ellen Trainor, actress (Lethal Weapon Die Hard The Goonies),0,9999
2783,Jassem Al-Kharafi, magnate and politician Speaker of the National Assembly (1999–2011),0,9999
2784,Zaya Avdysh, football player and manager,0,9999
2785,David Blake, cricketer (Hampshire),0,9999
2786,César Boutteville, chess player,0,9999
2787,Joaquim Durão, chess player,0,9999
2788,Anne Duguël, author,0,9999
2789,Fred Gladding," baseball player (Detroit Tigers, Houston Astros)",0,9999
2790,Ernie Hannigan," footballer (Preston North End, Coventry City)",0,9999
2791,Louis Johnson," bassist (The Brothers Johnson, Michael Jackson)",0,9999
2792,Martin Kitcher, singer-songwriter,0,9999
2793,James McDuffie," politician, member of the North Carolina Senate (1975–1987)",0,9999
2794,Juan Molinar Horcasitas, politician,0,9999
2795,Marty Pasetta, television producer and director,0,9999
2796,Annarita Sidoti, race walker world champion (1997),0,9999
2797,Ellen Tronnier, baseball player (South Bend Blue Sox),0,9999
2798,Twinkle," singer-songwriter (""Terry"")",0,9999
2799,Alan Woodward, footballer (Sheffield United),0,9999
2800,Albert Baciocco, admiral,0,9999
2801,Marques Haynes, Hall of Fame basketball player (Harlem Globetrotters),0,9999
2802,Sir John Horlock," mechanical engineer and university vice-chancellor (Open University, University of Salford)",0,9999
2803,Kevin Hunt, football player,0,9999
2804,Vladimir Katriuk, alleged war criminal,0,9999
2805,Alan Koch," baseball player (Detroit Tigers, Washington Senators)",0,9999
2806,Michel Mortier, interior designer and architect,0,9999
2807,John Mosley, football player (Colorado A&M Aggies) and World War II RAF officer (Tuskegee Airmen),0,9999
2808,Radomir Naumov," politician, Minister of Energy and Mining (2004–2007), Minister of Religion (2007–2008)",0,9999
2809,Aminah Robinson, artist,0,9999
2810,Jean-Luc Sassus, football player,0,9999
2811,Byron Sherwin, rabbi and theology scholar,0,9999
2812,Terry Sue-Patt, actor (Grange Hill),0,9999
2813,Michael Osborne Waddell, World War II army officer,0,9999
2814,Hugh Ambrose, historian and author (The Pacific),0,9999
2815,Marcus Belgrave, jazz trumpeter,0,9999
2816,Leo Berman, businessman and politician member of the Texas House of Representatives (1999–2013),0,9999
2817,Hugh Boyle, golfer,0,9999
2818,Moyra Caldecott, writer,0,9999
2819,John Carter, actor (Barnaby Jones Scarface Law & Order),0,9999
2820,Peter Corbett, cricketer,0,9999
2821,Trojan Darveniza, football player,0,9999
2822,Zedi Feruzi, politician,0,9999
2823,Boody Gilbertson, basketball player (Sheboygan Red Skins,0,9999
2824,Andy Hess, politician,0,9999
2825,Anne Meara," comedian (Stiller and Meara) and actress (Archie Bunker's Place, The King of Queens, Like Mike)",0,9999
2826,Aleksey Mozgovoy, pro-Russian separatist,0,9999
2827,Alicia Nash, socialite and mental health care advocate,0,9999
2828,Carl Nesjar, painter and sculptor,0,9999
2829,Asbjørn Øksendal, writer,0,9999
2830,Andres Ortiz, basketball player,0,9999
2831,Ali Raymi, boxer,0,9999
2832,Carole Seymour-Jones, biographer,0,9999
2833,Joseph Velikonja, geographer,0,9999
2834,Carlos Irizarry Yunqué," judge, justice of the Supreme Court (1973–1986)",0,9999
2835,Morris Beckman, writer and anti-fascist activist (43 Group),0,9999
2836,Dean Carroll, rugby league footballer,0,9999
2837,Krushna Ghoda, politician MLA for Palghar (since 2014),0,9999
2838,Cristian Gómez, footballer (Club Atlético Paraná),0,9999
2839,Vladimír Hagara, footballer (FC Spartak Trnava),0,9999
2840,"John H. Kerr, III", politician,0,9999
2841,Sir Kenneth Jacobs, judge,0,9999
2842,Krzysztof Kąkolewski, writer,0,9999
2843,Tanith Lee," science fiction, horror and fantasy writer (Blake's 7)",0,9999
2844,Daniel Meltzer, lawyer legal adviser to Barack Obama,0,9999
2845,Guido Plante," Roman Catholic prelate, Coadjutor Bishop (2004–2005) and Bishop of Choluteca (2005–2012)",0,9999
2846,Pedro Roque, Greco-Roman wrestler world champion (1987),0,9999
2847,Michael W. Ryan, convicted murderer,0,9999
2848,Bharat Raj Upreti, judge justice of the Supreme Court (2009–2013),0,9999
2849,Garland Bayliss, historian,0,9999
2850,George Braden, politician member of the Legislative Assembly of the Northwest Territories (1979–1983),0,9999
2851,Dien Cornelissen," politician, member of the Senate (1969–1971) and House of Representatives (1971–1972, 1973–1986)",0,9999
2852,Robert Lebel," Roman Catholic prelate, Bishop of Valleyfield (1976–2000)",0,9999
2853,Mary Ellen Mark, photographer,0,9999
2854,Moc Morgan, fly fisherman and naturalist,0,9999
2855,John M. Murphy," politician, member of the U.S. House of Representatives from New York's 16th (1963–1973) and 17th (1973–1981) districts",0,9999
2856,Bill O'Herlihy, sports broadcaster (RTÉ Sport),0,9999
2857,Wallace Sampson, critic of alternative medicine,0,9999
2858,John Stubbs, political journalist,0,9999
2859,Vicente Aranda, film director (Amantes),0,9999
2860,Walter Byers, college athletics executive (NCAA),0,9999
2861,Claudio Caligari," screenwriter and director (Toxic Love, The Scent of the Night)",0,9999
2862,Harold F. Clayton, sculptor,0,9999
2863,William Davidson, cricketer (Sussex),0,9999
