id,name,description,selected_by,sortorder
5321,Joshua Wheeler, army soldier,0,9999
5322,Jake Bailey, make-up artist,0,9999
5323,Bill Berezowski," football player (Hamilton Tiger-Cats, Toronto Argonauts)",0,9999
5324,Leon Bibb, folk singer,0,9999
5325,John Bossy, historian,0,9999
5326,Michel Couriard, Channel Islander civil servant,0,9999
5327,Roger De Clerck, chief executive (Beaulieu International Group),0,9999
5328,Arthur Gilbert, nonagenarian triathlete,0,9999
5329,Reggie Hannah, basketball player,0,9999
5330,Guðbjartur Hannesson, politician,0,9999
5331,Antony Hignell, sportsman,0,9999
5332,Krunoslav Hulak, chess grandmaster,0,9999
5333,Roar Johansen," footballer (Fredrikstad, national team)",0,9999
5334,Bill Keith, banjo player,0,9999
5335,Albert Kish, film director,0,9999
5336,Takis Papageorgopoulos, army general and politician,0,9999
5337,Peter Price," footballer (Ayr United, St Mirren)",0,9999
5338,Jim Roberts, ice hockey player (Montreal Canadiens St. Louis Blues),0,9999
5339,Fred Sands, real estate mogul,0,9999
5340,Thomas G. Stemberg, office supply executive (Staples Inc.) and philanthropist,0,9999
5341,Paride Tumburus, footballer,0,9999
5342,Lyubov Tyurina," volleyball player, Olympic champion (1972)",0,9999
5343,Zhu Muzhi, politician,0,9999
5344,Sir Michael Beetham," marshal of the air force, Chief of the Air Staff (1977–1982)",0,9999
5345,Carlos Bousoño, poet and literary critic,0,9999
5346,Alvin Bronstein, lawyer and prisoner rights activist,0,9999
5347,Christopher Chapman," writer, director, editor and cinematographer (A Place to Stand), creator of the multi-dynamic image technique",0,9999
5348,Hasset Go, chef,0,9999
5349,Kirsty Howard, hospice fundraiser,0,9999
5350,Shamshad Hussain, painter,0,9999
5351,Margarita Khemlin, author,0,9999
5352,Edythe Kirchmaier," centenarian, oldest known Facebook user",0,9999
5353,Ján Chryzostom Korec," Roman Catholic prelate, Jesuit Cardinal and Bishop of Nitra (1990–2005)",0,9999
5354,Eteiwi Majali," politician, member of the House of Representatives (since 2013)",0,9999
5355,Nat Peck, jazz trombonist,0,9999
5356,Sandra Peterson," politician, member of the Minnesota House of Representatives (2005–2013)",0,9999
5357,Gaston Poulain," Roman Catholic prelate, Bishop of Périgueux (1988–2004)",0,9999
5358,William John Quinn, railroad executive,0,9999
5359,Bhaskar Save, farmer and activist,0,9999
5360,Thomas Sunesson, footballer (Malmö FF),0,9999
5361,Cao Ying, translator of Russian literature,0,9999
5362,David Cesarani, Jewish historian Holocaust specialist,0,9999
5363,Fehmi Demir, politician leader of the Rights and Freedoms Party,0,9999
5364,Wojciech Fangor, artist,0,9999
5365,Pijush Ganguly, actor,0,9999
5366,Ken Graveney, cricketer (Gloucestershire),0,9999
5367,Marlo Henderson, session guitarist,0,9999
5368,Lisa Jardine, early modern historian,0,9999
5369,Vladimír Kobranov," ice hockey player, Olympic silver medalist (1948)",0,9999
5370,Cecil Lolo, footballer (Ajax Cape Town),0,9999
5371,Dennis Morgan, football player (Dallas Cowboys),0,9999
5372,Georg Müller," Roman Catholic prelate, Bishop of Trondheim (1997–2009)",0,9999
5373,Lee Shaw, jazz pianist,0,9999
5374,Matt Watson, footballer (Kilmarnock),0,9999
5375,Basil Williams, cricketer (West Indies),0,9999
5376,Willis Carto," white supremacist and Holocaust denier, founder of the American Free Press",0,9999
5377,S. Barry Cooper," mathematician, computational theorist, author and activist",0,9999
5378,Robert P. DeVecchi," rescue foundation executive, Director of International Rescue Committee",0,9999
5379,Steve Goss, politician member of the North Carolina Senate (2006–2010),0,9999
5380,Zeke Hogeland, college basketball coach (Northern Iowa),0,9999
5381,Penelope Houston," film critic, editor of Sight & Sound (1956–1990)",0,9999
5382,Leo Kadanoff, physicist (University of Chicago) President of American Physical Society (2006–2008),0,9999
5383,Robert Light," politician, member of the New Mexico House of Representatives (1985–1996)",0,9999
5384,Giuseppe Nazzaro," Roman Catholic prelate, Vicar Apostolic of Aleppo (2002–2013)",0,9999
5385,David Rodriguez, singer-songwriter,0,9999
5386,Sam Sarpong, model and actor (Love Don't Cost a Thing Farm House Anchor Baby),0,9999
5387,Ed Walker, radio personality (Joy Boys),0,9999
5388,Eric Allen," football player (Toronto Argonauts, Michigan State)",0,9999
5389,Mitzura Arghezi," actress, journalist and politician, MP (1996–2004)",0,9999
5390,Helen Astin, scholar and feminist,0,9999
5391,Ayerdhal, author,0,9999
5392,Ranjit Roy Chaudhury, pharmacologist,0,9999
5393,Betsy Drake, actress and writer,0,9999
5394,Philip French, film critic (The Observer) and BBC radio producer,0,9999
5395,Herbie Goins, R&B singer,0,9999
5396,Henry Hook, crossword compiler,0,9999
5397,Miyu Matsuki, voice actress,0,9999
5398,Tshepo Ngwane, actor,0,9999
5399,"Gulam Noon, Baron Noon", food production businessman chancellor of University of East London,0,9999
5400,Noriyoshi Ohrai, illustrator,0,9999
5401,Stanley Philips, cricketer,0,9999
5402,Rajendra Singh Rana, politician Uttar Pradesh MLA for Deoband (2002–2007 2012–2015),0,9999
5403,Ralph Richeson, actor (Deadwood Hancock),0,9999
5404,Yoshito Takamine," politician and labor leader, member of the Hawaii House of Representatives (1959–1984)",0,9999
5405,Irving Ungerman, boxing manager (George Chuvalo Clyde Gray) promoter poultry executive and philanthropist,0,9999
5406,Peter Barrett," Anglican prelate, Bishop of Cashel and Ossory (2002–2006)",0,9999
5407,Jack A. Brown," politician, member of the Arizona House of Representatives (1963–1974, 1987–1996, 2005–2011) and Senate (1999–2004)",0,9999
5408,Diane Charlemagne, singer (Urban Cookie Collective),0,9999
5409,Joseph Dergham," Maronite Catholic hierarch, Bishop of Cairo (1989–2005)",0,9999
5410,Nancy Dye," historian and educator, President of Oberlin College (1994–2007)",0,9999
5411,Bruce L. Edwards, literary scholar expert on C.S. Lewis,0,9999
5412,Nicolás Fuentes, footballer (national team),0,9999
5413,Tom Hosier," college football coach (Eureka, Macalester, Winona State)",0,9999
5414,Attila Kálmán," educator and politician, MP (1990–1994)",0,9999
5415,Sir Gerry Neale," politician, MP for North Cornwall (1979–1992)",0,9999
5416,Gyang Pwajok, politician member of the Senate for Plateau (2012–2015),0,9999
5417,Jorge Scarso," Roman Catholic prelate, Bishop of Patos de Minas (1967–1992)",0,9999
5418,Tadeusz Sobolewicz," actor and author, survivor of Nazi concentration camps",0,9999
5419,Scott James Wells, actor and model,0,9999
5420,Nick Bolkovac, football player (Pittsburgh Steelers) ,0,9999
5421,Per Brunvand, newspaper editor,0,9999
5422,Luther Burden, basketball player (Virginia Squires New York Knicks),0,9999
5423,Jacques Delécluse, percussionist,0,9999
5424,Kenneth Gilbert," actor (Doctor Who, House of Cards)",0,9999
5425,Ernesto Herrera, politician member of the House of Representatives (1998–2001) and Senate (1987–1998),0,9999
5426,Tassie Johnson, football player (Melbourne),0,9999
5427,Peter Knott," politician, member of the House of Representatives for Gilmore (1993–1996)",0,9999
5428,Lowell B. Komie, lawyer and author,0,9999
5429,Boris Kristančič, Olympic basketball player (1960) and coach,0,9999
5430,Franz Thaler, author,0,9999
5431,Ranko Žeravica, basketball coach (Partizan),0,9999
5432,Guenther Boden, endocrinologist,0,9999
5433,Mel Daniels, Hall of Fame basketball player (Indiana Pacers),0,9999
5434,Haliru Dantoro," traditional ruler and politician, Emir of Borgu (since 2000), member of the Senate (1993)",0,9999
5435,Zehra Deović, sevdalinka folk singer,0,9999
5436,Wallace Dollase, horse trainer,0,9999
5437,Joel Elkes, medical researcher,0,9999
5438,Colin Hilton, cricketer (Lancashire),0,9999
5439,John McCollum, opera singer,0,9999
5440,Al Molinaro, actor (The Odd Couple Happy Days Joanie Loves Chachi),0,9999
5441,Lucídio Portela Nunes," politician, Governor of Piauí (1979–1983)",0,9999
5442,Wallace E. Oates, economist,0,9999
5443,Sinan Şamil Sam, professional boxer,0,9999
5444,Norm Siebern," baseball player (Kansas City Athletics, New York Yankees, Baltimore Orioles)",0,9999
5445,Ants Antson," speed skater, Olympic champion (1964)",0,9999
5446,Thomas Blatt, writer and Holocaust survivor following escape from Sobibór,0,9999
5447,Sergio Donadoni, Egyptologist,0,9999
5448,Patricia Farrar, educator First Lady of South Dakota (1969–1971),0,9999
5449,Ivan Frgić, wrestler,0,9999
5450,Howard Green, physician and clinical researcher (MIT Harvard Medical School) pioneer in skin regeneration,0,9999
5451,Hroar Hansen," politician, newspaper owner and editor (Morgenbladet)",0,9999
5452,Charles Herbert, actor (Wagon Train 13 Ghosts The Fly),0,9999
5453,Tadeusz Jodłowski, artist,0,9999
5454,Pinky Kravitz, radio broadcaster (WOND),0,9999
5455,Dick Lane," politician, member of the Georgia House of Representatives (1966–1994), namesake of Dick Lane Bridge",0,9999
5456,Colin Nicholson," lawyer and jurist, judge of the High Courts of New Zealand (1998–2009) and the Cook Islands (2005–2012)",0,9999
5457,Gregg Palmer, actor (Gunsmoke),0,9999
5458,Ryūzō Saki, writer,0,9999
5459,Gus Savage," newspaper executive and politician, member of the U.S. House of Representatives for Illinois's 2nd district (1981–1993)",0,9999
5460,David Shugar, physicist,0,9999
5461,Benjamin Drake Wright, psychometrician,0,9999
5462,T. M. Wright, author,0,9999
5463,Abdikarim Yusuf Adam, military officer Chief of Army (2015),0,9999
5464,Bill Ballantine, marine biologist,0,9999
5465,Ronald Desruelles, athlete,0,9999
5466,Thomas R. Fitzgerald, judge Chief Justice (2008–2010) and member (2000–2010) of the Illinois Supreme Court,0,9999
5467,José Fonseca e Costa, film director (No Trace of Sin),0,9999
5468,Anselmo Gouthier, politician,0,9999
5469,Gloria Salguero Gross, politician President of the Legislative Assembly (1994–1997),0,9999
5470,Stephen Hancock, actor (Coronation Street),0,9999
5471,Afzal Khan Lala, politician MP for Swat (1993–1997),0,9999
5472,Houston McTear, sprinter,0,9999
5473,Charles Duncan Michener, entomologist,0,9999
5474,Brijmohan Lall Munjal," transportation manufacturing executive, co-founder of Hero Cycles and Hero MotoCorp",0,9999
5475,Günter Schabowski," politician, editor-in-chief of Neues Deutschland, First Secretary of the East Berlin SED, prematurely announced the fall of the Berlin Wall",0,9999
5476,Hayden Shell," politician, member of the Victorian Legislative Assembly for Geelong West (1982–85) and Geelong (1985–92)",0,9999
5477,Rudolf Scheurer, football referee,0,9999
5478,A. Veluppillai, Tamil academic and author,0,9999
5479,Frank Budgen," commercial director (Tag, Mountain)",0,9999
5480,Andrzej Ciechanowiecki, art historian,0,9999
5481,Mike Davies, tennis player,0,9999
5482,Roy Dommett, engineer and rocket scientist,0,9999
5483,Peter Donaldson, newsreader and radio broadcaster (BBC Radio 4),0,9999
5484,Christopher Duggan, historian,0,9999
5485,Omar El-Hariri, general,0,9999
5486,Hashim Abdul Halim, politician West Bengal MLA for Amdanga (1977–2006) and Entally (2006–2011),0,9999
5487,Karl Jaeger," educator, writer and artist",0,9999
5488,Haruko Kato, actress,0,9999
5489,Alexey Kozlov," intelligence officer, Hero of the Russian Federation",0,9999
5490,Neville Lakay, cricketer,0,9999
5491,Eddie Milner," baseball player (Cincinnati Reds, San Francisco Giants)",0,9999
5492,Tommy Overstreet, country singer,0,9999
5493,Roméo Phillion, prisoner wrongly convicted of murder,0,9999
5494,Miroslav Poljak," water polo player, Olympic champion (1968)",0,9999
5495,Kondavalasa Lakshmana Rao, actor,0,9999
5496,Arthur Shaw, footballer (Arsenal),0,9999
5497,Donald Shell, computer scientist (Shellsort),0,9999
5498,Barbara Snelling," politician, Vermont Lieutenant Governor (1993–1997), State Senator (1999–2002), and First Lady (1977–1985 and 1991)",0,9999
5499,Edward Soja, geographer,0,9999
5500,David Stock, composer and conductor,0,9999
5501,Carlos Vargas Ferrer, politician member of the P.R. House of Representatives,0,9999
5502,Colin Welland," actor and screenwriter (Kes, Straw Dogs, Chariots of Fire), Oscar winner (1982)",0,9999
5503,Peter Bayley, academic,0,9999
5504,Adriana Campos, actress (Vecinos),0,9999
5505,Judy Cassab," painter and Holocaust survivor, only woman to win two Archibald Prizes (1960, 1967)",0,9999
5506,Ahmed Chalabi, politician Deputy Prime Minister (2005–2006) President of the Governing Council (2003) Iraq War lobbyist,0,9999
5507,Howard Coble, politician member of the U.S. House of Representatives from North Carolina's 6th congressional district (1985–2015),0,9999
5508,Csaba Fenyvesi, fencer Olympic champion (1968 1972),0,9999
5509,David Graham," casting director (Three's Company, Purple Rain)",0,9999
5510,Tom Graveney, cricketer (Gloucestershire Worcestershire England),0,9999
5511,Paul Gundani, footballer (national team),0,9999
5512,Chuck Hurston, football player (Kansas City Chiefs Buffalo Bills),0,9999
5513,Sidney H. Lazard, bridge player,0,9999
5514,S. Mahalingam, mechanical engineer and academic,0,9999
5515,Fred McNeill, football player (Minnesota Vikings),0,9999
5516,Lauretta Ngcobo, author and activist,0,9999
5517,Nils Nygaard, professor of law,0,9999
5518,Paul Rose," politician, MP for Manchester Blackley (1964–1979)",0,9999
5519,Fred J. Scollay," actor (Law & Order, Death Wish)",0,9999
5520,Katherine Stenholm, film director,0,9999
5521,Lesley Vance," politician, member of the Alabama House of Representatives (since 1994)",0,9999
5522,Gülten Akın, poet,0,9999
5523,Ingo von Bredow," sailor, Olympic bronze medalist (1960)",0,9999
5524,Piotr Domaradzki," journalist (Dziennik Związkowy), essayist and historian",0,9999
5525,Ron Drzewiecki, football player (Chicago Bears),0,9999
5526,René Girard," historian, literary critic, and philosopher of social science",0,9999
5527,Ian Greer, political lobbyist (Cash-for-questions affair),0,9999
5528,Steve Hanson, rugby league player (North Sydney Eastern Suburbs New South Wales),0,9999
5529,Veikko Heinonen, ski jumper,0,9999
5530,Truman McGill Hobbs," judge, District Court for the Middle District of Alabama (1980–1991)",0,9999
5531,Károly Horváth, composer and musician,0,9999
5532,Ole Knapp, politician,0,9999
5533,Melissa Mathison, screenwriter (E.T. the Extra-Terrestrial The Black Stallion Kundun),0,9999
5534,Marina Pankova," volleyball player, Olympic champion (1988)",0,9999
5535,Laila Pullinen, sculptor,0,9999
5536,Lee Robinson, politician member of the Georgia Senate (1974–1982) Mayor of Macon (1987–1991),0,9999
5537,Jerzy Sadek," footballer (Sparta Rotterdam, national team)",0,9999
5538,David Teeuwen, newspaper editor (USA Today),0,9999
5539,Kostas Tsakonas, actor,0,9999
5540,James Achurch, Olympic javelin thrower (1956),0,9999
5541,George Barris, custom car designer (Batmobile Munster Koach),0,9999
5542,Ritch Brinkley," actor (Murphy Brown, Cabin Boy, Beauty and the Beast)",0,9999
5543,Nora Brockstedt, singer,0,9999
5544,Soma Edirisinghe," executive (EAP Holdings), film producer, philanthropist and social worker",0,9999
5545,Pierre Gy, chemist and statistician,0,9999
5546,Ehud Havazelet, author,0,9999
5547,Theodore Cyrus Karp, musicologist,0,9999
5548,Czesław Kiszczak," soldier and politician, last Prime Minister of the People's Republic of Poland (1989) and Minister of Internal Affairs (1981–1990)",0,9999
5549,Ed Lechner, football player,0,9999
5550,Mikhail Lesin, political advisor and media executive (Gazprom-Media) creator of Russia Today,0,9999
5551,Hans Mommsen, historian of Nazism and the Holocaust,0,9999
5552,Lar O'Byrne, footballer (Shamrock Rovers),0,9999
5553,Kjell Öhman, musician,0,9999
5554,Brian Cadle, ice hockey player (Winnipeg Jets),0,9999
5555,Bobby Campbell, football player and manager,0,9999
5556,José Ángel Espinoza," singer, composer and actor",0,9999
5557,Karel Mejta, rower,0,9999
5558,Chuck Pyle, country-folk singer-songwriter,0,9999
5559,Ri Ul-sol, politician and military official,0,9999
5560,Yveta Synek Graff, opera singer and vocal coac,0,9999
5561,Beni Veras," politician, Governor of Ceará (2002–2003)",0,9999
5562,Bappaditya Bandopadhyay, director and poet,0,9999
5563,Fred Besana, baseball player (Baltimore Orioles),0,9999
